#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28385";"36";"制2其他变动";0;16.16499;0;19.0035;19.0035
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28385";"41";"制1折旧";0;26.94165;0;31.6725;31.6725
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28390";"34";"制1其他变动";0;323.29992;0;380.07024;380.07024
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28390";"36";"制2其他变动";0;80.82498;0;95.01756;95.01756
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28390";"41";"制1折旧";0;134.7083;0;158.3626;158.3626
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28416";"34";"制1其他变动";0;323.29992;0;380.07024;380.07024
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28416";"36";"制2其他变动";0;80.82498;0;95.01756;95.01756
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28416";"41";"制1折旧";0;134.7083;0;158.3626;158.3626
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28418";"34";"制1其他变动";0;452.61996;0;532.09836;532.09836
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28418";"36";"制2其他变动";0;113.15499;0;133.02459;133.02459
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28418";"41";"制1折旧";0;188.59165;0;221.70765;221.70765
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28454";"34";"制1其他变动";0;96.99;0;114.02112;114.02112
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28454";"36";"制2其他变动";0;24.2475;0;28.50528;28.50528
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28454";"41";"制1折旧";0;40.4125;0;47.5088;47.5088
