#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoip
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"子件代码";"子件说明";"领料数量"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.15.17";"T104000-0000-0040-01 2RS-树脂扣，L=40";-3650
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.15.18";"T104000-0000-0020-01 2RS-树脂扣，L=20";-1878
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.16.08";"82131-STK7-A010-32-0001 2RS-不织布 H30 X L280";-664
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.16.09";"82131-STK7-A010-34-0001 2RS-不织布 H30 X L350";-647
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.16.10";"82131-STK7-A010-33-0002 2RS-不织布 H30 X L390";-663
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.16.11";"82531-STK7-A010-35-0000 2RS-不织布 H25 X L200";-504
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.17.04";"82131-STK7-A010-21-0000 2RS-PP板 H22 X L120";-1956
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.17.05";"82131-STK7-A010-22-0000 2RS-PP板 H22 X L40";-3897
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.17.06";"82131-STK7-A010-23-0000 2RS-PP板 H22 X L70";-2578
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.17.07";"82131-STK7-A010-24-0000 2RS-PP板 H22 X L90";-2556
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.17.08";"82131-STK7-A010-25-0000 2RS-PP板 H22 X L240";-646
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.26.01";"82131-STK9-A010-37-0000 2RS-1号衬布";-616
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"8.02.26.02";"82131-STK7-A010-36-0001 2RS-2号衬布";-1875
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"3.02.05.12.00";"2RS-556-牛皮裁片RC/R组合 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"4.02.05.12.01.00";"RCRA00KA--STK9DK01 2RS-556色RC/R-1牛皮裁片";-5
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"4.02.05.12.02.00";"RCRA00KB--STK9DK01 2RS-556色RC/R-2牛皮裁片";-6
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"4.02.05.12.03.00";"RCRA00KC--STK9DK01 2RS-556色RC/R-3牛皮裁片";-9
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"4.02.05.12.04.00";"RCRA00KD--STK9DK01 2RS-556色RC/R-4牛皮裁片";-8
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"4.02.05.12.05.00";"RCRA00KG--STK9DK01 2RS-556色RC/R-5牛皮裁片";-3
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"7.A0-RCR.556";"ZQ-S91组合RCR.556 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.15.17";"T104000-0000-0040-01 2RS-树脂扣，L=40";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.15.18";"T104000-0000-0020-01 2RS-树脂扣，L=20";-1800
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.16.08";"82131-STK7-A010-32-0001 2RS-不织布 H30 X L280";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.16.09";"82131-STK7-A010-34-0001 2RS-不织布 H30 X L350";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.16.10";"82131-STK7-A010-33-0002 2RS-不织布 H30 X L390";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.17.04";"82131-STK7-A010-21-0000 2RS-PP板 H22 X L120";-1200
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"8.02.17.05";"82131-STK7-A010-22-0000 2RS-PP板 H22 X L40";-2400
