#def REPORTPATH=$/QAD Addons/BI Report/xxpcincr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"成本要素代码";"成本要素说明";"期初总成";"期间非入库总成";"期间入库总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"26";"制2福利费";3.56946;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"34";"制1其他变动";56.51746;0;29363.844;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"35";"品质其他变动";151.52254;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"36";"制2其他变动";43.79224;0;7340.961;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"41";"制1折旧";281.45472;0;12234.935;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"42";"品质折旧";26.45463;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"43";"制2折旧";182.57442;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"44";"制1其他固定";149.794;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"1";"直接材料";6885.4;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"21";"制1人工";83.17263;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"22";"品质人工";1.76827;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"23";"制2人工";65.64195;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"24";"制1福利费";30.35726;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"25";"品质福利费";16.37337;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"26";"制2福利费";3.53654;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"34";"制1其他变动";55.9967;0;29363.844;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"35";"品质其他变动";150.1264;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"36";"制2其他变动";43.38873;0;7340.961;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"41";"制1折旧";278.86136;0;12234.935;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"42";"品质折旧";26.21088;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"43";"制2折旧";180.89216;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"44";"制1其他固定";148.41378;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"1";"直接材料";11152.28;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"21";"制1人工";128.17322;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"22";"品质人工";2.72499;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"23";"制2人工";101.15756;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"24";"制1福利费";46.78207;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"25";"品质福利费";25.23219;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"26";"制2福利费";5.44998;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"34";"制1其他变动";94.67787;0;68090338.36512;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"35";"品质其他变动";253.83011;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"36";"制2其他变动";73.36062;0;17022584.59128;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"41";"制1折旧";471.4921;0;28370974.3188;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"42";"品质折旧";44.31672;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"43";"制2折旧";305.84812;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"44";"制1其他固定";250.93445;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"1";"直接材料";5672.9;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"21";"制1人工";68.5258;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"22";"品质人工";1.45687;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"23";"制2人工";54.0823;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"24";"制1福利费";25.0113;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"25";"品质福利费";13.48999;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"26";"制2福利费";2.91375;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"34";"制1其他变动";46.13587;0;28665.55056;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"35";"品质其他变动";123.68965;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"36";"制2其他变动";35.74812;0;7166.38764;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"41";"制1折旧";229.75483;0;11943.9794;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"42";"品质折旧";21.59523;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"43";"制2折旧";149.03767;0;0;0;0
