#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"4.06.02.18.10.00";"";"";5040;5040;0
"1000";"";"4.06.02.20.01.00";"";"";301;301;0
"1000";"";"4.06.02.20.02.00";"";"";301;301;0
"1000";"";"4.06.02.21.02.00";"";"";1;1;0
"1000";"";"4.07.01.06.02.00";"";"";23;23;0
"1000";"";"4.07.01.06.03.00";"";"";23;23;0
"1000";"";"4.07.01.06.04.00";"";"";23;23;0
"1000";"";"4.07.01.06.05.00";"";"";23;23;0
"1000";"";"4.07.01.06.06.00";"";"";23;23;0
"1000";"";"4.07.02.05.02.00";"";"";721;721;0
"1000";"";"4.07.02.05.03.00";"";"";721;721;0
"1000";"";"4.07.02.05.04.00";"";"";240;240;0
"1000";"";"4.07.02.05.05.00";"";"";721;721;0
"1000";"";"4.07.02.05.06.00";"";"";481;481;0
"1000";"";"4.07.02.06.01.00";"";"";310;310;0
"1000";"";"4.07.02.06.02.00";"";"";791;791;0
"1000";"";"4.07.02.06.03.00";"";"";791;791;0
"1000";"";"4.07.02.06.04.00";"";"";791;791;0
"1000";"";"4.07.02.06.05.00";"";"";481;481;0
"1000";"";"4.07.02.06.06.00";"";"";481;481;0
"1000";"";"4.14.12.18.01.00";"";"";1396;1396;0
"1000";"";"4.16.01.05.04.00";"";"";23;23;0
"1000";"";"4.16.01.06.01.00";"";"";23;23;0
"1000";"";"4.16.01.12.01.00";"";"";1;1;0
"1000";"";"4.16.01.12.04.00";"";"";1;1;0
"1000";"";"4.16.01.12.05.00";"";"";1;1;0
"1000";"";"4.16.01.12.06.00";"";"";1;1;0
"1000";"";"4.16.01.12.07.00";"";"";1;1;0
"1000";"";"4.16.02.05.01.00";"";"";481;481;0
"1000";"";"4.16.02.05.04.00";"";"";481;481;0
"1000";"";"4.16.02.06.01.00";"";"";481;481;0
"1000";"";"4.16.02.11.01.00";"";"";1;1;0
"1000";"";"4.16.02.11.05.00";"";"";1;1;0
"1000";"";"4.16.02.18.01.00";"";"";1;1;0
"1000";"";"7.10E5-FBL.642";"";"";230;230;0
"1000";"";"7.10E5-FBR.642";"";"";250;250;0
"1000";"";"7.10E5-FCL.327";"";"";2;2;0
"1000";"";"7.10E5-FCL.642";"";"";240;240;0
"1000";"";"7.10E5-FCR.327";"";"";2;2;0
"1000";"";"7.10E5-FCR.642";"";"";310;310;0
"1000";"";"7.10G5-FBL.327";"";"";86;86;0
"1000";"";"7.10G5-FBR.327";"";"";76;76;0
"1000";"";"7.10G5-FCL.327";"";"";235;235;0
"1000";"";"7.10G5-FCR.327";"";"";176;176;0
"1000";"";"7.A0-BSL.556";"";"";85;85;0
"1000";"";"7.A0-BSL.690";"";"";191;191;0
"1000";"";"7.A0-BSR.167";"";"";3;3;0
"1000";"";"7.A0-BSR.556";"";"";85;85;0
"1000";"";"7.A0-BSR.690";"";"";200;200;0
"1000";"";"7.A0-RAR.556";"";"";80;80;0
"1000";"";"7.A0-RAR.690";"";"";275;275;0
"1000";"";"7.A0-RBL.556";"";"";42;42;0
"1000";"";"7.A0-RBL.690";"";"";191;191;0
"1000";"";"7.A0-RBR.556";"";"";68;68;0
"1000";"";"7.A0-RBR.690";"";"";216;216;0
"1000";"";"7.A0-RCL.556";"";"";47;47;0
"1000";"";"7.A0-RCL.690";"";"";191;191;0
"1000";"";"7.A0-RCR.167";"";"";5;5;0
"1000";"";"7.A0-RCR.556";"";"";89;89;0
"1000";"";"7.A0-RCR.690";"";"";235;235;0
"1000";"";"7.A1-BC.556";"";"";66;66;0
"1000";"";"7.A1-BC.690";"";"";466;466;0
"1000";"";"7.A1-FBL.556";"";"";42;42;0
"1000";"";"7.A1-FBL.690";"";"";283;283;0
"1000";"";"7.A1-FBR.556";"";"";42;42;0
"1000";"";"7.A1-FBR.690";"";"";229;229;0
"1000";"";"7.A1-FCL.556";"";"";110;110;0
"1000";"";"7.A1-FCL.690";"";"";216;216;0
"1000";"";"7.A1-FCR.556";"";"";45;45;0
"1000";"";"7.A1-FCR.690";"";"";222;222;0
"1000";"";"7.A2-FBL.327";"";"";30;30;0
"1000";"";"7.A2-FBR.327";"";"";30;30;0
"1000";"";"7.A2-FCL.327";"";"";33;33;0
