#def REPORTPATH=$/QAD Addons/BI Report/xxpctrrr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"标准系统数量";"数量差异"
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.19";"82531-SWA7-A010-33-0000 不织布H45 X L145";"RCT-TR";4260;0;4260;4260;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.20";"82531-SWAA-A010-33-0000 不织布H45 X L145";"ISS-TR";-3000;0;-3000;-3000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.20";"82531-SWAA-A010-33-0000 不织布H45 X L145";"RCT-TR";3000;0;3000;3000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.01";"81121-SWA7-A010-23-0000 PP T1.5*H65*L405";"ISS-TR";-5286;0;-5286;-5286;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.01";"81121-SWA7-A010-23-0000 PP T1.5*H65*L405";"ISS-WO";-3108;0;-3108;-3108;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.01";"81121-SWA7-A010-23-0000 PP T1.5*H65*L405";"RCT-TR";5286;0;5286;5286;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.03";"81121-SWA7-A010-24-0000 PP板T1.5*H65*L420";"ISS-TR";-4389;0;-4389;-4389;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.03";"81121-SWA7-A010-24-0000 PP板T1.5*H65*L420";"ISS-WO";-1312;0;-1312;-1312;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.03";"81121-SWA7-A010-24-0000 PP板T1.5*H65*L420";"RCT-TR";4389;0;4389;4389;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.05";"T103000-0000-0360-00 PP板L=360";"ISS-TR";-8422;0;-8422;-8422;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.05";"T103000-0000-0360-00 PP板L=360";"ISS-WO";-4298;0;-4298;-4298;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.05";"T103000-0000-0360-00 PP板L=360";"RCT-PO";3000;0;3000;3000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.05";"T103000-0000-0360-00 PP板L=360";"RCT-TR";8422;0;8422;8422;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.06";"T103000-0000-0335-00 PP板L=335";"ISS-TR";-4187;0;-4187;-4187;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.06";"T103000-0000-0335-00 PP板L=335";"ISS-WO";-2149;0;-2149;-2149;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.06";"T103000-0000-0335-00 PP板L=335";"RCT-PO";1500;0;1500;1500;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.06";"T103000-0000-0335-00 PP板L=335";"RCT-TR";4187;0;4187;4187;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.07";"T103000-0000-0340-00 PP板L=340";"ISS-TR";-4221;0;-4221;-4221;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.07";"T103000-0000-0340-00 PP板L=340";"ISS-WO";-2151;0;-2151;-2151;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.07";"T103000-0000-0340-00 PP板L=340";"RCT-PO";1500;0;1500;1500;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.07";"T103000-0000-0340-00 PP板L=340";"RCT-TR";4221;0;4221;4221;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.08";"T103000-0000-0130-00 PP板L=130";"ISS-PRV";-500;0;-500;-500;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.08";"T103000-0000-0130-00 PP板L=130";"ISS-TR";-6219;0;-6219;-6219;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.08";"T103000-0000-0130-00 PP板L=130";"ISS-WO";-2143;0;-2143;-2143;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.08";"T103000-0000-0130-00 PP板L=130";"RCT-PO";2000;0;2000;2000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.17.08";"T103000-0000-0130-00 PP板L=130";"RCT-TR";6219;0;6219;6219;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.02";"81121-SWA7-9010-25-0000 PE板T1.2 X H34 X L80";"ISS-TR";-9780;0;-9780;-9780;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.02";"81121-SWA7-9010-25-0000 PE板T1.2 X H34 X L80";"ISS-WO";-2624;0;-2624;-2624;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.02";"81121-SWA7-9010-25-0000 PE板T1.2 X H34 X L80";"RCT-TR";9780;0;9780;9780;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.03";"81131-SWA7-A010-23-0000 PE板T1.5 X H35 X L70";"ISS-TR";-5547;0;-5547;-5547;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.03";"81131-SWA7-A010-23-0000 PE板T1.5 X H35 X L70";"ISS-WO";-3073;0;-3073;-3073;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.18.03";"81131-SWA7-A010-23-0000 PE板T1.5 X H35 X L70";"RCT-TR";5547;0;5547;5547;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.19.01";"WQ-KANAKIN 白纱布 ";"ISS-TR";-240;0;-240;-240;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.19.01";"WQ-KANAKIN 白纱布 ";"ISS-WO";-178;0;-178;-178;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.19.01";"WQ-KANAKIN 白纱布 ";"RCT-TR";240;0;240;240;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.01";"43013D5-S5A4-A000 WQ1号ISO纽扣327色";"ISS-TR";-2941;0;-2941;-2941;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.01";"43013D5-S5A4-A000 WQ1号ISO纽扣327色";"ISS-WO";-2256;0;-2256;-2256;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.01";"43013D5-S5A4-A000 WQ1号ISO纽扣327色";"RCT-TR";2941;0;2941;2941;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.02";"43013D5-S5A4-A000 WQ2号ISO纽扣642色";"ISS-TR";-13052;0;-13052;-13052;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.02";"43013D5-S5A4-A000 WQ2号ISO纽扣642色";"ISS-WO";-8480;0;-8480;-8480;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.02";"43013D5-S5A4-A000 WQ2号ISO纽扣642色";"RCT-TR";13052;0;13052;13052;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.03";"43013D6-S5A4-A100 WQ3号ISO纽扣B";"ISS-TR";-16090;0;-16090;-16090;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.03";"43013D6-S5A4-A100 WQ3号ISO纽扣B";"ISS-WO";-10736;0;-10736;-10736;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.20.03";"43013D6-S5A4-A100 WQ3号ISO纽扣B";"RCT-TR";16090;0;16090;16090;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.01";"82121-SYA7-J010-60-0000 WQ安全扣 YR327L（外) _";"ISS-TR";-984;0;-984;-984;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.01";"82121-SYA7-J010-60-0000 WQ安全扣 YR327L（外) _";"ISS-WO";-904;0;-904;-904;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.01";"82121-SYA7-J010-60-0000 WQ安全扣 YR327L（外) _";"RCT-TR";984;0;984;984;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.02";"82121-SYA7-J010-60-0000 WQ安全扣 NH642L（外)";"ISS-TR";-12631;0;-12631;-12631;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.02";"82121-SYA7-J010-60-0000 WQ安全扣 NH642L（外)";"ISS-WO";-3496;0;-3496;-3496;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.02";"82121-SYA7-J010-60-0000 WQ安全扣 NH642L（外)";"RCT-TR";12631;0;12631;12631;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.03";"82121-SWA7-A010-61-0001 WQ安全扣 NH642L（里)";"ISS-TR";-10913;0;-10913;-10913;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.03";"82121-SWA7-A010-61-0001 WQ安全扣 NH642L（里)";"ISS-WO";-3496;0;-3496;-3496;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.03";"82121-SWA7-A010-61-0001 WQ安全扣 NH642L（里)";"RCT-TR";10913;0;10913;10913;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.04";"82121-SWA7-A010-61-0001 WQ安全扣 YR327L（里）";"ISS-TR";-984;0;-984;-984;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.04";"82121-SWA7-A010-61-0001 WQ安全扣 YR327L（里）";"ISS-WO";-904;0;-904;-904;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.21.04";"82121-SWA7-A010-61-0001 WQ安全扣 YR327L（里）";"RCT-TR";984;0;984;984;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.23.01";"4102398-S870-A802 WQ H70XL30商标";"ISS-TR";-10552;0;-10552;-10552;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.23.01";"4102398-S870-A802 WQ H70XL30商标";"ISS-WO";-4413;0;-4413;-4413;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.23.01";"4102398-S870-A802 WQ H70XL30商标";"RCT-PO";1000;0;1000;1000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.23.01";"4102398-S870-A802 WQ H70XL30商标";"RCT-TR";10552;0;10552;10552;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.24.01";"82123-SWA7-AD10-MI-0000 WQ 注意标";"ISS-TR";-2318;0;-2318;-2318;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.24.01";"82123-SWA7-AD10-MI-0000 WQ 注意标";"ISS-WO";-3328;0;-3328;-3328;0
