#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcz
#def :end
2009;10;¼þ;¼þ;ÆÚ³õ;;;Ôö¼ÓºÏ¼Æ;;;ISS-UNP;;;RCT-PO;;;RCT-TR;;;RCT-WO;;;¼õÉÙºÏ¼Æ;;;ISS-PRV;;;ISS-SO;;;ISS-TR;;;ISS-UNP;;;ISS-WO;;;RCT-PO;;;ÆÚÄ©;;
2009;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;10;ºÅ;Ãû;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É
2009;10;2.16.01.09.00T;82121-SWW7-E210-M1-0002 82121-SWW7-E210-M1-0002;253;0;0;702;0;0;0;0;0;0;0;0;518;0;0;184;0;0;-872;0;0;0;0;0;-354;0;0;-518;0;0;0;0;0;0;0;0;0;0;0;83;0;0
2009;10;2.16.01.11.00T;82531-SWW7-E210-M1-0003 82531-SWW7-E210-M1-0003;253;0;0;702;0;0;0;0;0;0;0;0;518;0;0;184;0;0;-872;0;0;0;0;0;-354;0;0;-518;0;0;0;0;0;0;0;0;0;0;0;83;0;0
2009;10;2.16.01.12.00T;82131-SWW7-E210-M1-0002 82131-SWW7-E210-M1-0002;253;0;0;702;0;0;0;0;0;0;0;0;518;0;0;184;0;0;-872;0;0;0;0;0;-354;0;0;-518;0;0;0;0;0;0;0;0;0;0;0;83;0;0
2009;10;2.16.01.17.00T;82181-SWW7-E210-M1-0001 82181-SWW7-E210-M1-0001;252;0;0;643;0;0;0;0;0;0;0;0;459;0;0;184;0;0;-813;0;0;0;0;0;-354;0;0;-459;0;0;0;0;0;0;0;0;0;0;0;82;0;0
2009;10;2.16.01.21.00T;82171-SWW7-E210-M1-0000 82171-SWW7-E210-M1-0000;252;0;0;696;0;0;0;0;0;0;0;0;512;0;0;184;0;0;-866;0;0;0;0;0;-354;0;0;-512;0;0;0;0;0;0;0;0;0;0;0;82;0;0
2009;10;2.16.02.02.00; ;220;0;0;2354;0;0;0;0;0;0;0;0;1548;0;0;806;0;0;-2374;0;0;0;0;0;-826;0;0;-1548;0;0;0;0;0;0;0;0;0;0;0;200;0;0
2009;10;2.16.02.03.00; ;220;0;0;2354;0;0;0;0;0;0;0;0;1548;0;0;806;0;0;-2374;0;0;0;0;0;-826;0;0;-1548;0;0;0;0;0;0;0;0;0;0;0;200;0;0
2009;10;2.16.02.05.00; ;220;0;0;2346;0;0;0;0;0;0;0;0;1538;0;0;808;0;0;-2364;0;0;0;0;0;-826;0;0;-1538;0;0;0;0;0;0;0;0;0;0;0;202;0;0
2009;10;2.16.02.06.00; ;220;0;0;2342;0;0;0;0;0;0;0;0;1536;0;0;806;0;0;-2362;0;0;0;0;0;-826;0;0;-1536;0;0;0;0;0;0;0;0;0;0;0;200;0;0
2009;10;2.16.02.08.00T;82521-SWW7-E210-M1-0002 82521-SWW7-E210-M1-0002;470;0;0;5189;0;0;0;0;0;0;0;0;3489;0;0;1700;0;0;-5297;0;0;0;0;0;-1808;0;0;-3489;0;0;0;0;0;0;0;0;0;0;0;362;0;0
