xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:19
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"US"	"2.1"	24	"Customer Control"	""	"adcspm.p"	"adcspm.hlp"
"US"	"2"	3	"Suppliers Menu"	""	"2.3"	""
"US"	"2.3"	1	"Supplier Maintenance"	""	"2.3.1"	"advnmt.hlp"
"US"	"2.3"	2	"Supplier Browse"	""	"adbr014.p"	"advniq.hlp"
"US"	"2.3"	3	"Supplier Address Report"	""	"advnrp.p"	"advnrp.hlp"
"US"	"2.3"	4	"Supplier Master Report"	""	"advnrp01.p"	"advnrp01.hlp"
"US"	"2.3"	5	"Supplier Labels Print"	""	"advnrp02.p"	"advnrp02.hlp"
"US"	"2.3"	12	"Master Comment Maintenance"	""	"gpcmmt.p"	"gpcmmt.hlp"
"US"	"2.3"	13	"Remit-To Supplier Maintenance"	""	"adrtmt.p"	"adrtmt.hlp"
"US"	"2.3"	14	"Supplier Remit-to Browse"	""	"adbr009.p"	"adrtiq.hlp"
"US"	"2.3"	15	"Supplier Remit-to Report"	""	"adrtrp.p"	"adrtrp.hlp"
"US"	"2.3"	24	"Supplier Control"	""	"advdpm.p"	"advdpm.hlp"
"US"	"2"	5	"Salespersons Menu"	""	"2.5"	""
"US"	"2.5"	1	"Salesperson Maintenance"	""	"adspmt.p"	"adspmt.hlp"
"US"	"2.5"	2	"Salesperson Browse"	""	"adbr010.p"	"adspiq.hlp"
"US"	"2.5"	4	"Salesperson Master Report"	""	"adsprp.p"	"adsprp.hlp"
"US"	"2.5"	6	"Sales Person Commission Detail"	""	"adspmt01.p"	""
"US"	"2.5"	7	"Commission Detail Browse"	""	"adbr011.p"	"adspiq01.hlp"
"US"	"2.5"	8	"Commission Detail Report"	""	"adsprp04.p"	"adsprp04.hlp"
"US"	"2.5"	12	"Master Comment Maintenance"	""	"gpcmmt.p"	"gpcmmt.hlp"
"US"	"2.5"	13	"Salesperson Commission Report"	""	"adsprp01.p"	"adsprp01.hlp"
"US"	"2.5"	14	"Salesperson Bookings Report"	""	"adsprp02.p"	"adsprp02.hlp"
"US"	"2.5"	15	"Salesperson Shipments Report"	""	"adsprp09.p"	"adsprp09.hlp"
"US"	"2.5"	16	"Salesperson Payments Report"	""	"adsprp03.p"	"adsprp03.hlp"
"US"	"2.5"	24	"Salesperson Control"	""	"adsppm.p"	"adsppm.hlp"
"US"	"2"	7	"Employees Menu"	""	"2.7"	""
"US"	"2.7"	1	"Employee Maintenance"	""	"ademmt.p"	"ademmt.hlp"
"US"	"2.7"	2	"Employee Browse"	""	"adbr006.p"	"ademiq.hlp"
"US"	"2.7"	4	"Employee Master Report"	""	"ademrp.p"	"ademrp.hlp"
"US"	"2.7"	12	"Master Comment Maintenance"	""	"gpcmmt.p"	"gpcmmt.hlp"
"US"	"2.7"	24	"Employee Control"	""	"adempm.p"	"adempm.hlp"
"US"	"2.7"	25	"Employee Utilities"	""	"2.7.25"	""
"US"	"2.7.25"	1	"Move emp__qad02 to emp_ctry"	""	"utempctry.p"	""
