帐户;分帐户;成本中心;金额
13013003;;;0
13013004;;;0
1402;10000002;;0
1402;10000003;;8957020.49
1402;10000004;;2098678.74
140301;10000001;;1921616.8
140301;10000002;;1505093.23
140301;10000003;;493152.44
140302;10000001;;3636139.22
140302;10000002;;6025321.9
140302;10000003;;15168277.75
140302;10000004;;2947612.68
140303;10000003;;1300205.68
140501;15000001;;5926.55
140501;15000002;;944.2
140501;15000003;;9188.64
140501;15000004;;62096.19
140501;15000005;;39196.55
140501;15000006;;147014.77
140501;15000007;;49143.35
140501;15000008;;21289.04
140501;15000009;;90.39
140501;15000010;;90.21
140501;15000011;;9313.13
140501;15000012;;6629.61
140501;15000016;;88408.98
140501;15000017;;102899.02
140501;15000018;;81977.09
140501;15010001;;55778.84
140501;15010002;;57898.7
140501;15010003;;80857.16
140501;15010005;;110750.8
140501;15010006;;102690.31
140501;15010007;;171129.41
140501;15010013;;41131.89
140501;15010014;;41267.36
140501;15010015;;46872.6
140501;15010016;;32293.69
140501;15010017;;54618.56
140501;15010018;;79825.43
140501;15010019;;39028.08
140501;15010020;;78524.82
140501;15010021;;47391.48
140501;15010022;;59241.51
140501;15010032;;0
140501;15010035;;7583.54
140501;15010036;;7422.18
140501;15010039;;27052.48
140501;15010040;;25283.28
140501;15010041;;50769.08
140501;15020001;;0
140501;15020007;;0
140501;15020008;;0
140501;15020009;;185763.27
140501;15020011;;0
140501;15020013;;162516.57
140501;15020014;;193558.79
140501;15020017;;401328.1
140501;15020024;;0
140501;15020026;;0
140501;15020027;;63401.64
140501;15030001;;0
140501;15030002;;0
140501;15030006;;0
140501;15030007;;0
140501;15030008;;0
140501;15030009;;0
140501;15040001;;106956.63
140501;15040002;;0
140501;15040003;;18168.58
140501;15040004;;9755.39
140501;15040005;;135717.11
140501;15040006;;20023.73
140501;15040007;;21308.5
140501;15040008;;0
140501;15040305;;0
140501;15040307;;0
140501;15040309;;0
140501;15040316;;0
140501;15040318;;0
140502;15000001;;0
140502;15000002;;0
140502;15000003;;0
140502;15000004;;0
140502;15000005;;0
140502;15000006;;0
140502;15000007;;0
140502;15000008;;0
140502;15000009;;0
140502;15000010;;0
140502;15000011;;0
140502;15000012;;0
140502;15000016;;0
140502;15000017;;0
140502;15000018;;0
140502;15010001;;0
140502;15010002;;0
140502;15010003;;0
140502;15010005;;0
140502;15010006;;0
140502;15010007;;0
140502;15010013;;0
140502;15010014;;0
140502;15010015;;0
140502;15010016;;0
140502;15010017;;0
140502;15010018;;0
140502;15010019;;0
140502;15010020;;0
140502;15010021;;0
140502;15010022;;0
140502;15010035;;0
140502;15010036;;0
140502;15010039;;0
140502;15010040;;0
140502;15010041;;0
140502;15020009;;0
140502;15020011;;0
140502;15020013;;0
140502;15020014;;0
140502;15020017;;0
140502;15020027;;0
140502;15040001;;0
140502;15040003;;0
140502;15040004;;0
140502;15040005;;0
140502;15040006;;0
140502;15040007;;0
140502;15040305;;0
140502;15040307;;0
140502;15040309;;0
141101;;;1734848.42
141102;;;1260855.48
141103;;;1058057.28
141104;;;2903.98
141105;50000001;;0
141105;50000002;;16239.32
147101;;;-251354.57
147102;;;-115563.15
15011;;;0
15012;;;0
15013;;;0
15014;;;0
15021;;;0
15022;;;0
15023;;;0
15024;;;0
160101;;;44040059.5
160102;;;185487612.55
160103;;;5893952.58
160104;;;11739601.6
160201;;;-17879881.66
160202;;;-78088601
160203;;;-3198564.74
160204;;;-5750503.38
16031001;;;0
16031002;;;0
16031003;;;0
16031004;;;0
16031005;;;0
16031006;;;0
16031007;;;0
16031008;;;0
16031009;;;0
16031010;;;0
16031011;;;0
16031012;;;0
16031013;;;0
16031014;;;0
16032002;;;0
16032012;;;0
16032013;;;0
16032014;;;0
16032015;;;0
16032016;;;0
16032017;;;0
16032018;;;0
16032019;;;0
16032020;;;0
16032026;;;0
16032038;;;0
16032054;;;0
16032055;;;0
16032056;;;0
16032057;;;0
16032058;;;0
16032059;;;0
16032060;;;0
16032061;;;0
16032062;;;0
16032063;;;0
16032064;;;0
16032065;;;0
16032066;;;0
16032067;;;0
16032068;;;0
16032069;;;0
16032070;;;0
16032071;;;0
16032072;;;0
16032073;;;0
16032074;;;0
16032075;;;0
16032076;;;0
16032077;;;0
16032078;;;0
16032079;;;0
16032080;;;0
16032081;;;0
16032082;;;0
16032083;;;0
16032084;;;0
16032085;;;0
16032086;;;0
16032087;;;0
16032088;;;0
16032089;;;0
16032090;;;0
16032091;;;0
16032092;;;0
16032093;;;0
16032094;;;0
16032095;;;0
16032096;;;0
16032097;;;0
16032098;;;0
16032099;;;0
16032100;;;0
16032101;;;0
16032102;;;0
16032103;;;0
16032104;;;0
16032105;;;0
16032106;;;0
16032107;;;0
16032108;;;0
16032109;;;0
16032110;;;0
16032111;;;0
16032112;;;0
16032113;;;0
16032114;;;0
16032115;;;0
16032116;;;0
16032117;;;0
16032118;;;0
16032119;;;0
16032120;;;0
16032121;;;0
16032122;;;0
16032123;;;0
16032124;;;0
16032125;;;0
16032126;;;0
16032127;;;0
16032128;;;0
16032129;;;0
16032130;;;0
16032131;;;0
16032132;;;0
16032133;;;0
16032134;;;0
16032135;;;0
16032136;;;0
16032137;;;0
16032138;;;0
16032139;;;0
16039002;;;0
16039004;;;0
16039005;;;0
16039006;;;0
16039007;;;0
16039008;;;0
160401;40000001;;3952728
160401;40000002;;228000
160401;40000003;;0
160401;40000004;;84000
160401;40000005;;70400
160401;40000006;;0
160402;40010001;;12990
160402;40010002;;0
160402;40010003;;76518
160402;40010004;;0
160402;40010005;;871830
160402;40010006;;20665
160402;40010007;;308651.2
160402;40010008;;141920
160402;40010009;;22297
160402;40010010;;0
