#def REPORTPATH=$/QAD Addons/BI Report/xxicaldr
#def :end
"会计单位";"年份";"期间";"零件";"工单";"分配比例";"数量";"基础参数";"乘参数1";"乘参数2";"乘参数3";"除参数1";"除参数2";"除参数3";"单量";"总量";"量比";"成本"
"1000";2009;6;"2.02.05.09.00";"28415";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;3.72944
"1000";2009;6;"2.02.05.09.00";"28415";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;5.59416
"1000";2009;6;"2.02.05.09.00";"28415";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;9.3236
"1000";2009;6;"2.02.05.09.00";"28417";"RGGS";11342.9837;1;1;1;1;1;1;1;1;11342.9837;.0003542972;354.2972
"1000";2009;6;"2.02.05.09.00";"28417";"RGGS";11342.9837;1;1;1;1;1;1;1;1;11342.9837;.0003542972;70.85944
"1000";2009;6;"2.02.05.09.00";"28417";"RGGS";11342.9837;1;1;1;1;1;1;1;1;11342.9837;.0003542972;106.28916
"1000";2009;6;"2.02.05.09.00";"28417";"RGGS";11342.9837;1;1;1;1;1;1;1;1;11342.9837;.0003542972;177.1486
"1000";2009;6;"2.02.05.09.00";"28456";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;18.6472
"1000";2009;6;"2.02.05.09.00";"28456";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;3.72944
"1000";2009;6;"2.02.05.09.00";"28456";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;5.59416
"1000";2009;6;"2.02.05.09.00";"28456";"RGGS";596.9991;1;1;1;1;1;1;1;1;596.9991;.0000186472;9.3236
"1000";2009;6;"2.02.05.11.00";"28350";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;209.6764
"1000";2009;6;"2.02.05.11.00";"28350";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;41.93528
"1000";2009;6;"2.02.05.11.00";"28350";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;62.90292
"1000";2009;6;"2.02.05.11.00";"28350";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;104.8382
"1000";2009;6;"2.02.05.11.00";"28362";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;209.6764
"1000";2009;6;"2.02.05.11.00";"28362";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;41.93528
"1000";2009;6;"2.02.05.11.00";"28362";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;62.90292
"1000";2009;6;"2.02.05.11.00";"28362";"RGGS";6712.8837;1;1;1;1;1;1;1;1;6712.8837;.0002096764;104.8382
"1000";2009;6;"2.02.05.11.00";"28374";"RGGS";8204.6356;1;1;1;1;1;1;1;1;8204.6356;.0002562712;256.2712
"1000";2009;6;"2.02.05.11.00";"28374";"RGGS";8204.6356;1;1;1;1;1;1;1;1;8204.6356;.0002562712;51.25424
"1000";2009;6;"2.02.05.11.00";"28374";"RGGS";8204.6356;1;1;1;1;1;1;1;1;8204.6356;.0002562712;76.88136
"1000";2009;6;"2.02.05.11.00";"28374";"RGGS";8204.6356;1;1;1;1;1;1;1;1;8204.6356;.0002562712;128.1356
"1000";2009;6;"2.02.05.11.00";"28383";"RGGS";5967.0077;1;1;1;1;1;1;1;1;5967.0077;.000186379;186.379
"1000";2009;6;"2.02.05.11.00";"28383";"RGGS";5967.0077;1;1;1;1;1;1;1;1;5967.0077;.000186379;37.2758
